gameDate,game,competition,bet,market,betValue,betTime,betAmount,odds,isMarketMaker,wallet
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Not Colombia,1X2,116.0,2026-06-23 23:30:43 UTC,116.0,1.7525,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 23:30:00 UTC,Colombia vs Portugal,FIFA World Cup ,Tie,1X2,90.0,2026-06-23 23:30:43 UTC,90.0,1.25,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-28 02:00:00 UTC,Jordan vs Argentina,FIFA World Cup ,Jordan +1,Asian Handicap (1),29.0,2026-06-23 23:08:33 UTC,29.0,1.2225,Yes,0xe2C68b7ef85645e47F9b94382c3Db59b046945a2
2026-06-27 03:00:00 UTC,New Zealand vs Belgium,FIFA World Cup ,Not New Zealand,1X2,548.0,2026-06-23 23:08:32 UTC,548.0,1.94,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-25 20:00:00 UTC,Ecuador vs Germany,FIFA World Cup ,Germany,1X2,132.0,2026-06-23 23:08:10 UTC,132.0,1.515,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-26 02:00:00 UTC,Paraguay vs Australia,FIFA World Cup ,Paraguay -1.5,Asian Handicap (-1.5),56.0,2026-06-23 22:57:11 UTC,56.0,1.1138,Yes,0x8268feC8dCb0D284343054BDf2b649286c9aA0a1
2026-06-27 21:00:00 UTC,Panama vs England,FIFA World Cup ,Under 2.5,Under/Over (2.5),9.0,2026-06-23 22:21:39 UTC,9.0,1.3362,Yes,0x42B4CF407654a8469d1Cf3606712C1f30599B2C5
2026-06-25 20:00:00 UTC,Ecuador vs Germany,FIFA World Cup ,Germany,1X2,319.0,2026-06-23 22:13:01 UTC,319.0,1.5175,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,153.0,2026-06-23 22:10:02 UTC,153.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,82.0,2026-06-23 22:10:01 UTC,82.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,106.0,2026-06-23 22:08:19 UTC,106.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,92.0,2026-06-23 22:08:02 UTC,92.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-25 20:00:00 UTC,Ecuador vs Germany,FIFA World Cup ,Germany,1X2,1.0,2026-06-23 22:07:01 UTC,1.0,1.5175,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-25 20:00:00 UTC,Ecuador vs Germany,FIFA World Cup ,Germany,1X2,231.0,2026-06-23 22:06:35 UTC,231.0,1.5175,Yes,0x68E1818FF20BBe84F9be9E0A4A395FB11079Bd35
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,125.0,2026-06-23 22:06:10 UTC,125.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,106.0,2026-06-23 22:06:09 UTC,106.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,4.0,2026-06-23 22:06:09 UTC,4.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,94.0,2026-06-23 22:06:07 UTC,94.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,4.0,2026-06-23 22:06:07 UTC,4.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,200.0,2026-06-23 22:05:49 UTC,200.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,112.0,2026-06-23 22:05:32 UTC,112.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,66.0,2026-06-23 22:05:14 UTC,66.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,4.0,2026-06-23 22:04:33 UTC,4.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,4.0,2026-06-23 22:04:32 UTC,4.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,268.0,2026-06-23 22:03:50 UTC,268.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
2026-06-27 21:00:00 UTC,Croatia vs Ghana,FIFA World Cup ,Not Ghana,1X2,72.0,2026-06-23 22:03:49 UTC,72.0,1.8287,Yes,0x5B3498Cb20C3107B5B267fabd3601B6425BDeb42
